Unnamed: 0,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,label
297,12:08:18.18,0.04864,0.10623,0.16392,0.0,0.0,-0.0,0
298,12:08:18.24,0.04864,0.14623,0.17285,0.0,0.0,-0.0,0
299,12:08:18.31,0.16664,0.12623,0.23766,0.0,0.0,-0.0,0
300,12:08:18.37,0.14664,0.09723,0.19348,0.0,0.03333,-0.0,2
301,12:08:18.43,0.29364,0.35175,0.06487,0.1,0.0,-0.0,2
302,12:08:18.49,0.48064,0.39075,0.37703,0.1,-0.03333,0.06667,2
303,12:08:18.56,0.11764,0.30223,0.22943,0.2,-0.1,0.2,2
304,12:08:18.62,-0.17121,-0.01077,-0.39855,0.5,-0.23333,0.23333,2
305,12:08:18.68,0.558,-0.72349,-0.96283,0.96667,-0.2,0.46667,2
306,12:08:18.75,-0.127,-0.85629,-0.92787,1.2,-0.13333,0.5,2
307,12:08:18.81,-0.579,-0.60736,-0.56868,1.36667,-0.4,0.26667,2
308,12:08:18.88,-0.55964,-0.87779,-0.85592,1.43333,-0.33333,0.23333,2
309,12:08:18.94,-0.15358,-1.43558,-1.25733,1.5,-0.56667,0.3,2
310,12:08:19.00,-0.24958,-1.74539,-0.03845,1.73333,-1.23333,0.46667,2
311,12:08:19.07,0.26384,-1.13118,0.398,1.8,-0.96667,0.46667,2
312,12:08:19.13,0.20625,-0.82858,0.15054,1.66667,-0.56667,0.36667,2
313,12:08:19.19,0.70117,-0.42309,-0.23339,1.53333,-0.1,0.13333,2
314,12:08:19.26,0.53122,-0.79106,0.90909,1.26667,-0.2,0.1,2
315,12:08:19.32,1.29307,-0.95728,0.5733,1.26667,-0.33333,-0.13333,2
316,12:08:19.38,1.51652,-0.8043,1.12517,1.33333,-0.66667,-0.1,2
317,12:08:19.45,2.34317,-0.69739,1.90405,0.93333,-0.3,-0.23333,2
318,12:08:19.51,3.00075,-1.22254,1.41835,0.0,0.06667,-0.13333,2
319,12:08:19.57,2.50075,-0.89954,1.5138,-0.56667,0.23333,-0.16667,2
320,12:08:19.64,2.94763,-0.72261,1.06709,-0.96667,0.5,-0.16667,2
321,12:08:19.70,2.49117,-0.67275,1.14948,-1.33333,0.46667,-0.23333,2
322,12:08:19.76,2.09052,-0.3444,0.77318,-1.66667,0.73333,-0.33333,2
323,12:08:19.83,1.88842,0.01017,0.27285,-1.83333,0.73333,-0.36667,2
324,12:08:19.89,1.78189,0.365,-0.09874,-1.76667,0.83333,-0.36667,2
325,12:08:19.95,1.50146,0.27307,0.46928,-1.86667,0.76667,-0.46667,2
