,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,seconds
985,12:55:13.560000,0.76883,-0.40239,0.76709,0.1,0.2,-0.03333,46513.56
986,12:55:13.590000,0.43954,-0.35339,0.5274,0.0,-0.06667,-0.0,46513.59
987,12:55:13.620000,0.55654,-0.21639,0.50239,-0.03333,-0.13333,-0.0,46513.62
988,12:55:13.660000,0.61554,-0.42316,0.21816,0.0,0.1,-0.06667,46513.66
989,12:55:13.690000,0.74354,-0.52116,0.31914,0.03333,0.13333,-0.06667,46513.69
990,12:55:13.720000,0.55654,-0.44216,0.27585,0.0,0.1,-0.03333,46513.72
991,12:55:13.750000,0.58118,-0.27616,0.13491,-0.06667,-0.06667,-0.03333,46513.75
992,12:55:13.780000,0.45318,-0.54251,0.11171,0.03333,0.06667,-0.1,46513.78
993,12:55:13.810000,0.53218,-0.47351,0.30118,0.03333,0.06667,-0.06667,46513.81
994,12:55:13.840000,0.74718,-0.55251,0.18086,0.0,0.0,-0.06667,46513.84
995,12:55:13.870000,0.74718,-0.55251,0.18086,0.0,0.0,-0.06667,46513.87
996,12:55:13.900000,0.47778,-0.33416,0.41351,0.0,0.06667,-0.0,46513.9
997,12:55:13.930000,0.38978,-0.47351,0.16221,-0.06667,0.03333,-0.0,46513.93
998,12:55:13.960000,0.47778,-0.57151,0.15586,0.0,0.03333,-0.03333,46513.96
999,12:55:13.990000,0.38978,-0.39551,0.15558,0.1,0.1,-0.03333,46513.99
1000,12:55:14.020000,0.11141,-0.38551,0.28569,0.0,0.1,-0.0,46514.02
1001,12:55:14.050000,0.21041,-0.57151,0.19149,0.0,0.0,-0.1,46514.05
1002,12:55:14.090000,0.23941,-0.48351,0.27212,0.06667,0.03333,-0.06667,46514.09
1003,12:55:14.120000,0.19041,-0.50251,0.33246,-0.03333,0.0,-0.0,46514.12
1004,12:55:14.150000,0.28841,-0.59151,0.31706,-0.03333,0.0,-0.03333,46514.15
1005,12:55:14.180000,0.21941,-0.44451,0.42881,0.03333,0.03333,-0.1,46514.18
1006,12:55:14.210000,0.32741,-0.34416,0.50763,0.0,0.0,-0.03333,46514.21
1007,12:55:14.240000,0.32741,-0.34416,0.50763,0.0,0.0,-0.03333,46514.24
1008,12:55:14.270000,0.31741,-0.54251,0.30886,-0.03333,-0.03333,-0.1,46514.27
1009,12:55:14.300000,0.30841,-0.42451,0.46919,0.0,0.0,-0.06667,46514.3
1010,12:55:14.330000,0.19041,-0.42451,0.70481,-0.13333,0.03333,-0.0,46514.33
1011,12:55:14.360000,-0.19259,-0.43451,0.28479,-0.13333,0.1,-0.1,46514.36
1012,12:55:14.390000,-0.21159,-0.63051,0.45115,-0.06667,0.0,-0.16667,46514.39
1013,12:55:14.420000,0.18041,-0.54438,0.78563,-0.23333,0.1,-0.1,46514.42
1014,12:55:14.450000,0.05341,-0.50538,0.61624,-0.23333,0.3,-0.1,46514.45
1015,12:55:14.480000,0.06891,-0.82171,1.53679,-0.06667,1.2,-0.16667,46514.48
1016,12:55:14.520000,0.06891,-0.82171,1.53679,-0.06667,1.2,-0.16667,46514.52
1017,12:55:14.550000,0.40558,-1.29271,2.19792,-0.23333,1.63333,-0.13333,46514.55
